decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.00746235022495413,0.320465012940573,0.107637448155182,0.20303798828987,2008-09-19,2015-07-07,0.529836193447738,0.0232860060337942
2,0.0525718602007764,0.319217484046739,0.761263594790296,0.199730487604142,2008-09-19,2015-08-24,0.533151326053042,0.164689789338352
3,0.0487968156978177,0.31546615199185,0.715001744623688,0.198594072455038,2001-10-23,2015-08-24,0.539976599063963,0.154681620800568
4,0.0682189502370186,0.309651075352566,1.01835881485849,0.204112819197617,2001-10-23,2015-06-26,0.536271450858034,0.220309101653676
5,0.0879560656031054,0.312394083821254,1.30146166816394,0.199533445768128,2015-07-10,2015-08-24,0.542316692667707,0.281554837810028
6,0.10052840984573,0.307546002347248,1.51093963635588,0.198748880360663,2008-09-19,2015-06-26,0.543486739469579,0.326872757501248
7,0.0956563981560609,0.304388357355529,1.45262787713227,0.199413093061378,2001-10-23,2015-07-07,0.540366614664587,0.314257742927839
8,0.128920261255981,0.300570854333315,1.98263468022453,0.201368041007356,2008-09-19,2015-06-26,0.541731669266771,0.428918038450315
9,0.140884649422146,0.294043312320319,2.21472983782666,0.199829589376918,2015-07-09,2015-08-24,0.548751950078003,0.479128902168914
10,0.148867097090571,0.281333764262846,2.4459369056806,0.198618953570365,2001-10-23,2015-08-24,0.549141965678627,0.529147638857477
10086,0.141404746865617,0.131368368737689,4.9755554315647,0.133072448564524,2015-07-06,2015-07-14,0.506240249609984,1.07639874213532
