decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.0902005289579413,0.330700196530433,1.20535920064872,0.199143940555465,2015-07-09,2015-08-24,0.557926178792405,0.272756200039454
2,0.104541647449285,0.326923327542504,1.40497617054188,0.198794066543215,2008-09-19,2015-08-25,0.558169652492985,0.319774205882244
3,0.0846331730500759,0.324411184965371,1.14634990215451,0.198821893047143,2008-09-19,2015-08-24,0.549201553733276,0.260882413962114
4,0.0900077960192993,0.321929622762899,1.22030018406786,0.198679032094176,2008-09-19,2015-08-24,0.551837270341207,0.279588424472482
5,0.0832906711838721,0.319616520137375,1.13740369042463,0.19885837348495,2008-09-19,2015-08-24,0.550962379702537,0.260595638636178
6,0.0919556766382853,0.317043143708911,1.26592410267193,0.199242143495244,2008-09-19,2015-08-24,0.551837270341207,0.290041524199348
7,0.0858564077188182,0.31615167317342,1.18529026867009,0.200358021868347,2008-09-19,2015-06-26,0.543963254593176,0.271567146417482
8,0.0841028365870184,0.312349475507548,1.17778272909589,0.202746543446266,2008-09-19,2015-06-26,0.54006968641115,0.26925877320702
9,0.0916358005794169,0.305156161056284,1.31066144953086,0.200991431843054,2008-09-19,2015-06-26,0.536307961504812,0.300291497514662
10,0.120947476743683,0.291315991190075,1.81209089150595,0.19858350579199,2015-07-09,2015-08-24,0.533027121609799,0.415176236119385
10086,0.0269002391259546,0.141128145206218,0.831936151496424,0.138615842794101,2007-05-31,2007-06-13,0.491032370953631,0.19060860671447
