trade_date,decile,ret,cum.ret,name
2010-12-21,4,0.0135291258801535,1.68131994823863,dROE
2010-12-21,5,0.0147774412123703,2.66682701480548,dROE
2010-12-21,6,0.0124213348977509,2.56672242361872,dROE
2010-12-21,7,0.0133195595053626,2.76247465200904,dROE
2010-12-21,8,0.0141674205347855,3.74588675957983,dROE
2010-12-21,9,0.0137602056335484,3.75919675448596,dROE
2010-12-21,10,0.0142278253977159,2.94751942366869,dROE
2010-12-21,10086,-0.000679539676543358,1.34008764035638,dROE
2010-12-22,1,-0.00831635710993754,2.23619558562339,dROE
2010-12-22,2,-0.00695627264266312,1.06611096932105,dROE
2010-12-22,3,-0.00896053741827656,1.88899206412152,dROE
2010-12-22,4,-0.00653752818718642,1.67032827168535,dROE
2010-12-22,5,-0.00913625749157322,2.64246219651273,dROE
2010-12-22,6,-0.00888996059972513,2.54390436240232,dROE
2010-12-22,7,-0.00921552256982516,2.73701700450488,dROE
2010-12-22,8,-0.00893867662991851,3.71240348914366,dROE
2010-12-22,9,-0.00687043043118938,3.73336945470712,dROE
2010-12-22,10,-0.00687875711448798,2.92724415346304,dROE
2010-12-22,10086,0.00143759999544956,1.34201415034206,dROE
2010-12-23,1,-0.0170187277150472,2.19813838183408,dROE
2010-12-23,2,-0.0186717022291854,1.04620486275862,dROE
2010-12-23,3,-0.0188775962090294,1.85333243469297,dROE
2010-12-23,4,-0.0166003288679533,1.64260027305793,dROE
2010-12-23,5,-0.0177562444857865,2.59554199170701,dROE
2010-12-23,6,-0.0218435265478975,2.48833651992687,dROE
2010-12-23,7,-0.0159256641511821,2.69342819091506,dROE
2010-12-23,8,-0.0167964260625119,3.65004837842404,dROE
2010-12-23,9,-0.018868303139986,3.66292710810214,dROE
2010-12-23,10,-0.0178344661459075,2.8750383167073,dROE
2010-12-23,10086,-0.000815738430860271,1.34091941782487,dROE
2010-12-24,1,-0.0144253546373805,2.16642945613408,dROE
2010-12-24,2,-0.0111489566369559,1.03454077011035,dROE
2010-12-24,3,-0.0126961343328894,1.82980227713861,dROE
2010-12-24,4,-0.0151281931703318,1.61775069882547,dROE
2010-12-24,5,-0.0188648512687219,2.54657747807173,dROE
2010-12-24,6,-0.0185577015707857,2.44215871338238,dROE
2010-12-24,7,-0.0162203872696085,2.64973974257554,dROE
2010-12-24,8,-0.0205604759947007,3.57500164635996,dROE
2010-12-24,9,-0.019259823320123,3.5923797791656,dROE
2010-12-24,10,-0.0170372811067545,2.82605548071286,dROE
2010-12-24,10086,-0.00261192646937404,1.33741703490415,dROE
2010-12-27,1,-0.0276537303167614,2.10651960020386,dROE
2010-12-27,2,-0.0321584113780753,1.00127158243775,dROE
2010-12-27,3,-0.0314915817240886,1.77217890918918,dROE
2010-12-27,4,-0.0252038302501465,1.57697718482522,dROE
2010-12-27,5,-0.0290666060858194,2.4725571136496,dROE
2010-12-27,6,-0.0286077279389753,2.37229410132614,dROE
2010-12-27,7,-0.0258178505307402,2.58132915795636,dROE
2010-12-27,8,-0.0259519032729946,3.48222354943283,dROE
2010-12-27,9,-0.032260574700916,3.47648754294577,dROE
2010-12-27,10,-0.028891429078234,2.74440669922069,dROE
2010-12-27,10086,-0.00123769876147268,1.33576171549648,dROE
2010-12-28,1,-0.0282469673988795,2.04701680973181,dROE
2010-12-28,2,-0.0291560004839169,0.972078507695662,dROE
2010-12-28,3,-0.0267260416131173,1.7248155819163,dROE
2010-12-28,4,-0.0213387229525591,1.54332650557572,dROE
2010-12-28,5,-0.0183467499688671,2.42719372650173,dROE
2010-12-28,6,-0.0174637480661776,2.3308649548017,dROE
2010-12-28,7,-0.0222473803580916,2.52390134634987,dROE
2010-12-28,8,-0.0245504433182362,3.39673341756105,dROE
2010-12-28,9,-0.0217572018529329,3.40084890173469,dROE
2010-12-28,10,-0.0226618675863403,2.68221331799989,dROE
2010-12-28,10086,0.00558509981253918,1.3432220780033,dROE
2010-12-29,1,0.0119519547328554,2.07148266197911,dROE
2010-12-29,2,0.0146334445930982,0.986303364678168,dROE
2010-12-29,3,0.0145511967209331,1.74991371275609,dROE
2010-12-29,4,0.0167573647567312,1.56918859076839,dROE
2010-12-29,5,0.0168647660711779,2.46812778090861,dROE
2010-12-29,6,0.0195623249936933,2.37646209256394,dROE
2010-12-29,7,0.015594405630271,2.56326008771564,dROE
2010-12-29,8,0.0155917075888744,3.44969429176502,dROE
2010-12-29,9,0.017281426543901,3.45962042221693,dROE
2010-12-29,10,0.0144689590037689,2.72102215253739,dROE
2010-12-29,10086,0.00251700427091353,1.34660297371042,dROE
2010-12-30,1,0.00255477543758407,2.07677483500332,dROE
2010-12-30,2,0.0009531166395545,0.987243426826691,dROE
2010-12-30,3,0.00182207947140727,1.75310219460884,dROE
2010-12-30,4,0.000319895729202732,1.56969056749689,dROE
2010-12-30,5,0.00598705169435178,2.48290458952118,dROE
2010-12-30,6,0.00524948143468327,2.38893728619908,dROE
2010-12-30,7,0.001760897273882,2.56777372541635,dROE
2010-12-30,8,0.00553359080386688,3.46878348837408,dROE
2010-12-30,9,0.00690710475023836,3.48351638286924,dROE
2010-12-30,10,0.0043510913752658,2.7328615685572,dROE
2010-12-30,10086,0.00179631593768173,1.34902189809382,dROE
2010-12-31,1,0.0189277618238332,2.11608353444199,dROE
2010-12-31,2,0.0220342156883849,1.00899656143033,dROE
2010-12-31,3,0.0229337518633054,1.79330740533102,dROE
2010-12-31,4,0.0195879011503354,1.60043751116963,dROE
