trade_date,decile,ret,cum.ret,name
2007-06-29,2,-0.0502832429807597,2.42368965146126,pb
2007-06-29,3,-0.0476125115107546,2.03012892420619,pb
2007-06-29,4,-0.0475562566274875,2.16081751817691,pb
2007-06-29,5,-0.0516644840220081,1.86495163574462,pb
2007-06-29,6,-0.0494549748216932,1.22161031765743,pb
2007-06-29,7,-0.0473878943515121,1.54088452634621,pb
2007-06-29,8,-0.0491777995505964,0.892870606141312,pb
2007-06-29,9,-0.0506910305963413,1.01701747912756,pb
2007-06-29,10,-0.0542827991450466,0.491741493964159,pb
2007-06-29,10086,0.00592993097629589,6.32946710559862,pb
2007-07-02,1,0.044420613745339,3.22875746540933,pb
2007-07-02,2,0.0421928618844521,2.52595205417614,pb
2007-07-02,3,0.0343488731248417,2.09986156505082,pb
2007-07-02,4,0.0365914320650159,2.23988492559817,pb
2007-07-02,5,0.0268784884520419,1.9150787167496,pb
2007-07-02,6,0.0218280182700925,1.24827564999019,pb
2007-07-02,7,0.020864123561148,1.57303373149736,pb
2007-07-02,8,0.0117963418866802,0.903403213071922,pb
2007-07-02,9,0.00782276004590144,1.02497336282926,pb
2007-07-02,10,0.00184631074108767,0.492649401566303,pb
2007-07-02,10086,0.0425743030042513,6.59893975600782,pb
2007-07-03,1,0.0160719848929125,3.28065000661627,pb
2007-07-03,2,0.0111829368392049,2.55419961645685,pb
2007-07-03,3,0.0156336141401411,2.13268999050653,pb
2007-07-03,4,0.0158674432796508,2.27542617260805,pb
2007-07-03,5,0.0139486371040426,1.94179145479521,pb
2007-07-03,6,0.0188334488485067,1.27178498559311,pb
2007-07-03,7,0.0164618788837258,1.59892882226528,pb
2007-07-03,8,0.0166996597146089,0.918489739315308,pb
2007-07-03,9,0.0235745613792316,1.04913666028336,pb
2007-07-03,10,0.0226928202762462,0.503829005895248,pb
2007-07-03,10086,-0.00662083538333371,6.55524926217875,pb
2007-07-04,1,-0.0307773657623454,3.1796802414244,pb
2007-07-04,2,-0.0305654893801531,2.47612925520525,pb
2007-07-04,3,-0.0220024773043642,2.08576552739317,pb
2007-07-04,4,-0.0255458786318325,2.21729841176691,pb
2007-07-04,5,-0.0271693873441214,1.88903417061838,pb
2007-07-04,6,-0.020188803968681,1.24610916782866,pb
2007-07-04,7,-0.0238679794048321,1.56076562206566,pb
2007-07-04,8,-0.0249042501584463,0.895615441079433,pb
2007-07-04,9,-0.0330649219808663,1.01444703846382,pb
2007-07-04,10,-0.0190642656575558,0.494223875880878,pb
2007-07-04,10086,-0.0117131001047896,6.478466971359,pb
2007-07-05,1,-0.0666002813269637,2.96791264281574,pb
2007-07-05,2,-0.0685469477285237,2.30639815257963,pb
2007-07-05,3,-0.0682708720510461,1.94336849594403,pb
2007-07-05,4,-0.0615750339733722,2.08076818673326,pb
2007-07-05,5,-0.0690742265530247,1.75855059635068,pb
2007-07-05,6,-0.0727699116884561,1.1554299137316,pb
2007-07-05,7,-0.0687300169518712,1.45349417440319,pb
2007-07-05,8,-0.067129159419438,0.835493529356702,pb
2007-07-05,9,-0.0628467543371864,0.950692334649397,pb
2007-07-05,10,-0.0617629301818708,0.463699161140634,pb
2007-07-05,10086,-0.00483735114509289,6.44712835173665,pb
2007-07-06,1,0.0728219148642969,3.18404172461554,pb
2007-07-06,2,0.0723057122286471,2.47316391368473,pb
2007-07-06,3,0.0698866042641919,2.07918392095956,pb
2007-07-06,4,0.0712215883657735,2.22896380201337,pb
2007-07-06,5,0.0671773217074219,1.87668531550051,pb
2007-07-06,6,0.0647956762073574,1.23029677630204,pb
2007-07-06,7,0.0594399434182815,1.53988978588852,pb
2007-07-06,8,0.0616141180804608,0.886971726329947,pb
2007-07-06,9,0.0567310227227139,1.0046260830887,pb
2007-07-06,10,0.0502954178025935,0.487021104184915,pb
2007-07-06,10086,0.0225264970617033,6.59235956960847,pb
2007-07-09,1,0.0340858813399464,3.29257259302222,pb
2007-07-09,2,0.033852156419575,2.55688584534204,pb
2007-07-09,3,0.0322866243773852,2.14631375122709,pb
2007-07-09,4,0.0349104761677602,2.30677798970236,pb
2007-07-09,5,0.0332608962917274,1.93910555115158,pb
2007-07-09,6,0.0344123678910217,1.27263420158329,pb
2007-07-09,7,0.0318865657613522,1.58899158281149,pb
2007-07-09,8,0.0295359966307913,0.913169320250435,pb
2007-07-09,9,0.0300992962952418,1.03486462122952,pb
2007-07-09,10,0.0302214351670182,0.501739580910009,pb
2007-07-09,10086,0.00386444617292814,6.61783538831781,pb
2007-07-10,1,-0.0356097888466664,3.17532477822238,pb
2007-07-10,2,-0.0319163282512038,2.47527943740124,pb
2007-07-10,3,-0.0321620176765048,2.07728397042079,pb
2007-07-10,4,-0.0258996630233386,2.24703321709941,pb
2007-07-10,5,-0.0318654278158528,1.87731512318404,pb
2007-07-10,6,-0.0279624947363891,1.23704817442017,pb
2007-07-10,7,-0.028637088146266,1.54348749079084,pb
2007-07-10,8,-0.0288569491312116,0.886818039627785,pb
2007-07-10,9,-0.0263121466381735,1.00763511156507,pb
2007-07-10,10,-0.0262904827032927,0.488548605136537,pb
2007-07-10,10086,-0.00931930614337361,6.55616175432763,pb
2007-07-11,1,0.0176450213310412,3.2313534516671,pb
2007-07-11,2,0.0178471230728437,2.51945605416022,pb
2007-07-11,3,0.014488149417611,2.10737997096706,pb
2007-07-11,4,0.011821074316582,2.27359556375057,pb
2007-07-11,5,0.0134731509932898,1.90260847330068,pb
2007-07-11,6,0.0168396502266575,1.25787963299093,pb
2007-07-11,7,0.0102949766197865,1.55937765842146,pb
2007-07-11,8,0.012926062579034,0.89828110510423,pb
2007-07-11,9,0.00523804807993678,1.01291315272648,pb
2007-07-11,10,0.00439861681652612,0.490697543246781,pb
2007-07-11,10086,0.0132464045145151,6.64300732498804,pb
2007-07-12,1,0.0104336994025561,3.26506842224521,pb
2007-07-12,2,0.00864994613342937,2.54124921331425,pb
2007-07-12,3,0.00917115671448842,2.12670708293777,pb
2007-07-12,4,0.00320288846678213,2.28087763675983,pb
2007-07-12,5,0.00641224154933977,1.91480845840531,pb
2007-07-12,6,0.00323053169809784,1.2619432530177,pb
2007-07-12,7,0.00875518667108314,1.57303030091166,pb
2007-07-12,8,0.0102918262840271,0.907526058192187,pb
2007-07-12,9,0.00537190476594075,1.01835442571909,pb
2007-07-12,10,0.00402831435805122,0.492674227205702,pb
2007-07-12,10086,0.00640538504450488,6.68555834475806,pb
2007-07-13,1,-0.00399701679575676,3.2520178889222,pb
2007-07-13,2,-0.00696745982028385,2.52354316152716,pb
2007-07-13,3,-0.00913032576616272,2.10728955446134,pb
2007-07-13,4,-0.000554081481675972,2.27961384469934,pb
2007-07-13,5,-6.99835411724657e-05,1.91467445332872,pb
2007-07-13,6,-0.00279801240856125,1.25841232013685,pb
2007-07-13,7,-0.000932619459815724,1.57156326224215,pb
2007-07-13,8,-0.00414128613775898,0.90376773310774,pb
2007-07-13,9,0.000412657876793924,1.01877465769424,pb
2007-07-13,10,0.00190211881623471,0.493611352123544,pb
2007-07-13,10086,-0.00589913561199147,6.64611932944045,pb
2007-07-16,1,-0.036544516623773,3.13317446711967,pb
2007-07-16,2,-0.032375523755404,2.44184212995335,pb
2007-07-16,3,-0.033258798320709,2.03720363616618,pb
2007-07-16,4,-0.0391932979096943,2.19026826016497,pb
2007-07-16,5,-0.0332530660953398,1.85100565718112,pb
2007-07-16,6,-0.0371265701560292,1.21169178684808,pb
