trade_date,decile,ret,cum.ret,name
2011-12-22,3,-0.0160631306497305,3.29050811164853,turnover
2011-12-22,4,-0.0157345230300105,3.66521258489706,turnover
2011-12-22,5,-0.0179089985250455,1.90212307840696,turnover
2011-12-22,6,-0.0181370418970403,1.92468522605506,turnover
2011-12-22,7,-0.0198512214828014,1.31743297151043,turnover
2011-12-22,8,-0.0182194369609167,0.937544803811265,turnover
2011-12-22,9,-0.0240265682315293,0.437301974760148,turnover
2011-12-22,10,-0.016288780705587,0.114541779909127,turnover
2011-12-22,10086,0.00965006778658243,8.74717755246022,turnover
2011-12-23,1,0.00861229913120893,1.72739283212397,turnover
2011-12-23,2,0.00856044886256031,3.35749560542445,turnover
2011-12-23,3,0.00991375583657417,3.32312940564568,turnover
2011-12-23,4,0.01037176595406,3.70322731199949,turnover
2011-12-23,5,0.0101676931560058,1.92146328221316,turnover
2011-12-23,6,0.0101314440909821,1.94418506681558,turnover
2011-12-23,7,0.0102314788474508,1.33091225909137,turnover
2011-12-23,8,0.00777326993693923,0.944832592649265,turnover
2011-12-23,9,0.0100941852203024,0.441716181890581,turnover
2011-12-23,10,0.00569487779733197,0.115194081348398,turnover
2011-12-23,10086,0.00291742133387697,8.77269675486298,turnover
2011-12-26,1,-0.00548323094146881,1.7179211382988,turnover
2011-12-26,2,-0.00479101540375514,3.34140979226082,turnover
2011-12-26,3,-0.00579581619244373,3.30386915842685,turnover
2011-12-26,4,-0.00388671742869876,3.68883391386351,turnover
2011-12-26,5,-0.00713883739923484,1.90774626827284,turnover
2011-12-26,6,-0.0042062193149104,1.93600739803578,turnover
2011-12-26,7,-0.00773384519683869,1.32061918970898,turnover
2011-12-26,8,-0.00656088572935311,0.938633653975524,turnover
2011-12-26,9,-0.00600993700904662,0.439061495461542,turnover
2011-12-26,10,-0.0146198946213766,0.113509956018079,turnover
2011-12-26,10086,0.0091366636799078,8.85284993467798,turnover
2011-12-27,1,-0.0186750973396447,1.68583879381923,turnover
2011-12-27,2,-0.0206800229944492,3.27230936092299,turnover
2011-12-27,3,-0.0266440135108426,3.21584082393167,turnover
2011-12-27,4,-0.0240181031519245,3.60023512041001,turnover
2011-12-27,5,-0.02832094528599,1.85371709058953,turnover
2011-12-27,6,-0.0301435794280901,1.87764920525972,turnover
2011-12-27,7,-0.0314510722700654,1.27908430013221,turnover
2011-12-27,8,-0.034059325879544,0.906664424473265,turnover
2011-12-27,9,-0.0339217479051753,0.424167762097626,turnover
2011-12-27,10,-0.0427164793081258,0.108661210330566,turnover
2011-12-27,10086,0.024041381968481,9.06568468146722,turnover
2011-12-28,1,-0.00371012489905363,1.67958412133449,turnover
2011-12-28,2,-0.00342393355937794,3.26110519108545,turnover
