month,skew,iskew,coskew,Max3d,Max5d,Max7d,ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,pct_chg,isst,list_date,list_tenure
200001,-0.045211102999999996,0.45110115,-0.32042909,0.049631264,0.045854777,0.042645849000000007,000002.SZ,20000128,10.55,1.9922,1.54,28.479098999999998,2.7764001,575542.06,330510.75,0.08209999700000001,0,19910129,3286
200001,0.58834869,0.89194959,-0.42000666,0.08612714,0.068037182,0.058875903,000005.SZ,20000128,8.25,4.4512,1.63,35.636101000000004,4.219900099999999,427364.44,202644.34,0.36590001,0,19901210,3336
200001,0.55925375,1.7034726000000002,-0.50417411,0.072055072,0.056349762000000005,0.046589452999999996,000006.SZ,20000128,10.99,4.9808997999999995,5.8099999,23.639298999999998,2.4339001000000002,278697.19,173429.94,0.1617,0,19920427,2832
200001,0.29605097,0.60553586,-0.44756746,0.056928769000000004,0.045735162,0.040406924,000007.SZ,20000128,9.2299995,2.1566,1.51,37.110802,3.6931,132536.95,73434.766,0.155,0,19920413,2846
200001,-0.45272291,0.17242438,-0.53152615,0.037084855,0.031856962,0.027461691,000010.SZ,20000128,7.0900002,1.6365,1.03,44.558899,5.8578,104235.37,35096.121,-0.036699999,0,19951027,1554
200001,-0.35477388,-0.84424734,-0.49064812,0.036617402,0.033003483,0.028828541000000003,000011.SZ,20000128,6.3200002,2.05,1.8200001000000001,266.6647,6.1956,342417.09,57759.301,-0.032099999,0,19920330,2860
200001,-0.7240805,-1.7789755,-0.43161222,0.03424434,0.028442227999999996,0.023524901,000012.SZ,20000128,5.0500002,2.0100999,2.3900001,217.1468,1.7619999999999998,341872.59,54118.828,-0.066699997,0,19920228,2891
200001,0.56176502,1.3556683,-0.35624319,0.061222252000000005,0.045718286,0.037843511,000016.SZ,20000128,17.76,2.2609999,1.87,22.6471,4.4057002,971934.31,361979.0,0.1234,0,19920327,2863
200001,0.65105456,1.4888206,-0.40164018,0.08792045,0.07554154099999999,0.063934401,000019.SZ,20000128,14.65,6.696499799999999,1.55,74.2258,8.1394997,244226.75,45018.859000000004,0.41940001,0,19921012,2664
200001,0.59330851,1.9879419999999999,-0.39972052,0.06817089,0.054080367000000004,0.04425294,000021.SZ,20000128,29.4,7.578400099999999,2.78,47.637901,9.9666996,2154820.5,538978.19,0.1318,0,19940202,2186
200001,0.53784269,1.403299,-0.45030981,0.055978753,0.043037515,0.033547394,000023.SZ,20000128,9.75,3.4688001,2.3099998999999998,53.0896,4.2252998,135287.33,45036.441,0.079499997,0,19930429,2465
200001,-0.60420614,-0.53867298,-0.55971074,0.048965264,0.042896545999999994,0.038801417000000005,000025.SZ,20000128,7.829999900000001,4.2203002,1.52,77.912697,5.7417998,172480.5,26851.889,-0.048599999000000005,0,19930621,2412
200001,0.75564182,1.8147959999999999,-0.53146619,0.083178349,0.066951498,0.055686105,000026.SZ,20000128,9.430000300000001,3.5883,1.9,46.018799,3.8276,235106.88,57287.25,0.25870001,0,19930603,2430
200001,-0.37504759,0.76096988,-0.53803879,0.033320028,0.027580805,0.023791134,000027.SZ,20000128,8.1800003,1.0925,1.63,27.969801,4.2389002,741612.06,238921.11,0.047400001,0,19930903,2338
200001,0.36922219,-0.27481395,-0.37893993,0.078516401,0.062202144,0.052650969000000006,000028.SZ,20000128,12.61,5.5981998,2.55,142.9751,5.7484999000000006,201864.66,38450.41,0.19059999,0,19930809,2363
200001,0.099236049,-0.32711214,-0.30952701,0.037601136,0.031836666,0.027811015,000031.SZ,20000128,4.8499999,1.0319,1.27,85.529503,1.9869,226156.66,68221.313,-0.07620000099999999,0,19931008,2303
200001,-0.35658431,0.26757777,-0.63701421,0.068611503,0.058241735999999995,0.050455794000000005,000032.SZ,20000128,22.15,7.1661,1.3,159.48019,9.800600099999999,289748.59,80404.508,0.2289,0,19931028,2283
200001,-0.06191900400000001,0.26841038,-0.33712405,0.084054172,0.074744508,0.065556385,000035.SZ,20000128,35.380001,8.2386999,1.1799998999999999,169.6925,19.763201000000002,410008.91,75890.102,0.44409999,0,19940408,2121
200001,-0.58370113,0.56391442,-0.67315286,0.045648802,0.040819332,0.036851853,000036.SZ,20000128,7.820000200000001,1.9473,0.94,25.9389,2.546,187448.05,92365.93,0.093699999,0,19940617,2051
200001,0.48637566,1.3512446000000002,-0.28026724,0.057073705,0.047757003,0.041458864,000037.SZ,20000128,10.07,3.0315001,0.66000003,44.849701,5.7021999,358894.81,33895.621,0.1455,0,19940701,2037
200001,-0.16136040000000001,0.52700472,-0.43609431,0.044744279000000005,0.039404037999999995,0.034723334,000039.SZ,20000128,18.6,1.3041,1.36,25.747298999999998,3.8915,632774.63,85973.25,0.091799997,0,19940408,2121
